今年も、「雪降りメリクリ」目指して頑張ります！,SP,?,Saki41??,真面目にやってどうするの
FestA of PandemoniuM,？,?,nomunomu,移動する同時押し混じりの24分縦連許さん
Oshama Scramble!,？,5,ぼくのかんがえたさいきょうのふめん,運指を頑張って考えよう
一人だけ気合が入りまくっているハンドベル隊,？,1,気合入れすぎました,圧倒的出オチ譜面
ARCANAA？,？,2,Chart Lab 【蔵】...？,これできたらTAKUMI³もできる
Astral Quantization,？,1,Onigiri1360 effected by Saki28,殿、譜面を懐に入れ温めておきました(4ヶ月)
ジングルベル,Single Hell,?,サンタさんからク○譜面のプレゼント,真面目にやってどうするの2　譜面引用パレードです
ピアノ独奏無言歌第一番「灰燼」,ORIGINAL,?,Saki28,まあ初稿だからね。しょうがないね。
Dengeki Tube,Practice CHUNTIHM,?,Saki28,ほぼ完全再現です
ラストピースに祝福と栄光を,MASTER?,?,Saki28,ノリと勢いってやつですわ。無事隔離
Don't fight the music And revive the melody,MASTER?,?,Saki28,当時これよくやりましたね
大宇宙ステージ,GRAVITY,?,Extra Saki,なんやかんやあって隔離することに決めました
神威,MASTER？,?,Saki3390?,ようやく隔離、すみませんでした
Apollo,MASTER？,?,Saki28,初期譜面がよく現れている。リマスターが出たことにより無事隔離
Chaotic Order,MASTER？,?,Saki powered by umarinkun,上に同じ。ご協力いただいたうまりんには申し訳ない
666,蔵,4,Saki666?,本家バカじゃない？
Ultimate Force,蔵,3,蔵,後半かなりマシになってます
PANDORA PARADOXXX,蔵,3,蔵,うまりんにはこのまま出しても…みたいなこと言われました。正気？
Latent Kingdom,蔵,5,蔵,Antinomy Pale談　真にやばいのは未来。自分は24分トリルだけ
DA‘AT -The First Seeker of Souls-,蔵,5,Antinomy Pale「感謝しろ」,本当に良く調整してくれましたね…
Stardust:RAY,蔵,5,nomunomu,容疑者は「うまりんならできると思って、、、」と供述
Tuatha Dé Danann,蔵,1,通常譜面から虹に左遷,本当にごめんなさい
Tuatha Dé Danann,蔵,3,ちょっと頑張った,オートはミス吐きます
Tuatha Dé Danann,蔵,5,36..........？？？？？？？？？,おにぎりの初稿としては過去一酷い
Archidoxen,蔵,2,グッバイ権限,権限残存チキンレース敗北
Tru'nembra,蔵,5,"TraNsforM ""AIR""",ウニから持ってきちゃいけない配置全部持ってきてみた
盟月,蔵,2,Yodo,
キミとボクへの葬送歌,蔵,6,Absolutely Kill,まさかの上限突破　それはそうとこれは本当にMASTERの蔵譜面なのだろうか？
The Devil Incarnate,蔵,5,三会頭,はじめ見たとき絶句したよね(のむのむ)
創 -汝ら新世界へ歩む者なり-,蔵,4,蔵,3点押し+2鍵の5k地帯の引用箇所間違えました(本人より)
23時54分、陽の旅路へのプレリュード,蔵,5,税関「指なくなるって」,←実際に言われました
色を喪った街,蔵,5,Zakulolita feat. Garnet,全ての元凶
"* Erm. could it be a Spatiotemporal ShockWAVE Syndrome...?",蔵,5,時の蔵,
End Time,敷,3,Long Time,MASTERが赤タップしかないので思いついてしまった
"Over The ""Period""",速,5,NOMUNOMU underground overlay,通常譜面で出そうとしたら税関ストップかけられました
Schrecklicher Aufstand,狂,4,Streich ,ドイツ語で「悪ふざけ」といういみらしいです
End Time,狂,4,賢者タイム,ん？そんな音なってるかって？知らんな
Re:Unknown X,狂,4,nomunomu,普通に人間にやらせる譜面じゃなくて笑ったよね
もぺもぺ,狂,5,jdにsdjんcいshdcbjh,そぢvうぃえうvs0ぢvjくぉいn
ひつぎとふたご,狂,5,最初で最後の私の狂気,48分音いかつすぎておもろい
