今年も、「雪降りメリクリ」目指して頑張ります！,MASTER,28.0
Oshama Scramble!,MASTER,26.0
Life is PIANO,MASTER,27.0
Reverberate,MASTER,27.0
Everlasting Today,MASTER,28.0
大宇宙ステージ,EXHAUST,29.0
ツキノカメ,MASTER,29.5
超究極・傑ゼーレ　ボス戦BGM,MASTER,30
Evans,MASTER,30.3
メモリア,MASTER,30.5
χρόνος,MASTER,30.7
Rrhar'il,IN,30.8
そつおめしき・ふる,Celebration,31
〚献身〛 ～Paradox of Choice,MASTER,31.1
Undying Macula,MASTER,31.2
INFiNiTE ENERZY -Overdoze-,MASTER,31.2
Diamond Dust,MASTER,31.3
Crimson Phoenix,MASTER,31.3
《破滅》〜Rhapsody for the End〜,MASTER,31.3
グラウンドスライダー協奏曲第一番「風唄」,MASTER,31.3
脳漿炸裂ガール,MASTER,31.3
Sheriruth,MASTER,31.3
AFTER PANDORA,MASTER,31.4
初音ミクの消失-劇場版-,MASTER,31.4
PANDORA PARADOXXX,MASTER,31.4
ネクラチューンサーカス,MASTER,31.4
其方、激昂,MASTER,31.5
End Time ,MASTER,31.6
Glorious Clown(tpz over-over-over cute Remix),Speedrun!,31.6
GODLINESS,MASTER,31.6
Theatore Creatore,MASTER,31.6
I Wanna,OLIVIER,31.7
ヱテルナ・ガラクシア,OLIVIER,31.7
システム,MASTER,31.7
parvorbital,MASTER,31.8
蜘蛛の糸,MASTER,31.8
ANiMA,MASTER,31.8
Λzure Vixen,MASTER,32.1
お願いマッスル,MUSCLE,32.1
"Destruction3.2.1",AT,32.1321
Armageddon,MASTER,32.2
盟月,MASTER,32.3
0,MASTER,32.39
宿星審判,MASTER,32.4
Oshama Scramble!,ULTIMA,32.4
Synthesis.,MASTER,32.4
raputa,MASTER,32.4
Wizdomiot,MASTER,32.5
Acid God,MASTER,32.5
To：Be Continued,MASTER,32.6
Aiolos,MASTER,32.7
メッちゅう殴打,MASTER,32.7
Sunset Toybox,MASTER,32.7
浮世絵横丁,MASTER,32.7
