Title,Diff,Level,Const,Score,Clear,"Full Combo","All Justice","Full Chain",Genre
B.B.K.K.B.K.K.,MAS,12.5,12.5,1007250,1,0,0,0,VARIETY
B.B.K.K.B.K.K.,ULT,13.5,13.5,1008985,1,0,0,0,VARIETY
"Reach For The Stars",ULT,13.5,13.7,1008439,1,0,0,0,VARIETY
初音ミクの消失,EXP,12,12,1001730,1,0,0,0,niconico
初音ミクの消失,MAS,14.5,14.5,1009982,1,1,1,0,niconico
千本桜,MAS,12.5,12.6,984850,0,0,0,0,niconico
千本桜,ULT,13.5,13.7,1007714,1,0,0,0,niconico
DRAGONLADY,MAS,14,14.2,1002660,1,0,0,0,VARIETY
"taboo tears you up",MAS,13.5,13.8,1004358,1,0,0,0,東方Project
"taboo tears you up",ULT,15,15,1009728,1,1,0,0,東方Project
ナイト・オブ・ナイツ,EXP,9,9,1009777,1,1,1,0,東方Project
ナイト・オブ・ナイツ,MAS,12,12.2,1009965,1,1,1,2,東方Project
一触即発☆禅ガール,EXP,9.5,9.5,997871,1,0,0,0,niconico
一触即発☆禅ガール,MAS,13,13,1009064,1,1,0,0,niconico
タイガーランペイジ,ULT,15,15,1009353,1,0,0,0,niconico
"Blue Noise",MAS,14.5,14.5,1008210,1,0,0,0,VARIETY
Lapis,ULT,14.5,14.9,1007927,1,1,0,0,VARIETY
天ノ弱,EXP,8,8,999447,1,0,0,0,niconico
天ノ弱,MAS,11,11.1,999420,1,0,0,0,niconico
天ノ弱,ULT,13.5,13.7,1009042,1,0,0,0,niconico
L9,MAS,13.5,13.6,1007343,1,0,0,0,VARIETY
L9,ULT,15,15,1007771,1,0,0,0,VARIETY
六兆年と一夜物語,EXP,9.5,9.5,1004034,1,0,0,0,niconico
六兆年と一夜物語,MAS,13,13.4,1002686,1,0,0,0,niconico
六兆年と一夜物語,ULT,14,14.1,1009128,1,0,0,0,niconico
"Unlimited Spark!",ULT,14,14.1,1009950,1,1,1,0,東方Project
"My First Phone",MAS,14,14,1007160,1,0,0,0,ORIGINAL
Teriqma,ULT,14.5,14.5,1006808,1,0,0,0,ORIGINAL
Invitation,MAS,11.5,11.8,1007342,1,0,0,0,ORIGINAL
Invitation,ULT,13.5,13.5,1009630,1,1,0,0,ORIGINAL
"GOLDEN RULE",MAS,14.5,14.7,1007739,1,0,0,0,ORIGINAL
"Gate of Fate",MAS,14.5,14.7,1007976,1,0,0,0,ORIGINAL
"Gate of Fate",ULT,15,15.1,1005861,1,0,0,0,ORIGINAL
Anemone,MAS,11,11.1,995614,1,0,0,0,ORIGINAL
Anemone,ULT,13,13.1,1009263,1,1,0,0,ORIGINAL
昵懇レファレンス,ULT,13,13.1,1009981,1,1,1,0,ORIGINAL
"The wheel to the right",MAS,14,14.4,1005235,1,0,0,0,ORIGINAL
STAR,MAS,13.5,13.5,1006628,1,1,0,0,ORIGINAL
"Infantoon Fantasy",EXP,9.5,9.5,1009937,1,1,1,0,ORIGINAL
"Infantoon Fantasy",MAS,13,13,1008119,1,1,0,0,ORIGINAL
"Infantoon Fantasy",ULT,14,14.2,1009733,1,1,0,0,ORIGINAL
Genesis,MAS,14.5,14.5,1007954,1,0,0,0,ORIGINAL
"MUSIC PЯAYER",MAS,14,14,1009376,1,0,0,0,ORIGINAL
"MUSIC PЯAYER",ULT,14.5,14.5,1008336,1,0,0,0,ORIGINAL
Counselor,MAS,12,12.3,702652,0,0,0,0,ORIGINAL
"luna blu",MAS,14.5,14.5,1008024,1,0,0,0,ORIGINAL
"luna blu",ULT,15,15,1007460,1,0,0,0,ORIGINAL
ＧＯ！ＧＯ！ラブリズム♥,MAS,11.5,11.8,1009125,1,0,0,0,ORIGINAL
"Memories of Sun and Moon",EXP,8,8,1009539,1,1,0,0,ORIGINAL
ロストワンの号哭,EXP,9,9,987711,1,0,0,0,niconico
ロストワンの号哭,MAS,13,13,1000745,1,0,0,0,niconico
ロストワンの号哭,ULT,14,14.2,1009948,1,1,1,0,niconico
L'épisode,MAS,14.5,14.8,1005655,1,0,0,0,ORIGINAL
最終鬼畜妹・一部声,MAS,14,14,1007876,1,0,0,0,東方Project
セツナトリップ,MAS,13.5,13.8,1002889,1,0,0,0,niconico
砂漠のハンティングガール♡,ULT,14,14.1,1005872,1,0,0,0,ORIGINAL
チルノのパーフェクトさんすう教室,EXP,8,8,1005000,1,0,0,0,東方Project
チルノのパーフェクトさんすう教室,MAS,12.5,12.9,1002431,1,0,0,0,東方Project
魔理沙は大変なものを盗んでいきました,ULT,15,15,1002558,1,0,0,0,東方Project
言ノ葉カルマ,ULT,14,14.3,1007952,1,0,0,0,ゲキマイ
エンドマークに希望と涙を添えて,EXP,11.5,11.8,1005263,1,0,0,0,ORIGINAL
エンドマークに希望と涙を添えて,MAS,15,15,1007637,1,0,0,0,ORIGINAL
宛城、炎上！！,EXP,12.5,12.6,985518,1,0,0,0,ORIGINAL
宛城、炎上！！,MAS,15,15,1007351,1,0,0,0,ORIGINAL
"We Gonna Journey",MAS,14,14.2,1003793,1,0,0,0,ORIGINAL
"We Gonna Journey",ULT,14.5,14.9,1009648,1,1,0,0,ORIGINAL
"The ether",MAS,13,13,1006300,1,0,0,0,ORIGINAL
ストリーミングハート,ULT,14,14.1,1009933,1,1,1,0,niconico
Dreaming,MAS,11.5,11.7,1007392,1,0,0,0,東方Project
腐れ外道とチョコレゐト,EXP,9.5,9.5,1009892,1,1,1,0,niconico
腐れ外道とチョコレゐト,MAS,13.5,13.5,1001267,1,0,0,0,niconico
腐れ外道とチョコレゐト,ULT,14.5,14.8,1008881,1,1,0,0,niconico
"東方妖々夢 ～the maximum moving about～",MAS,14,14,1009966,1,1,1,0,東方Project
チルドレンレコード,EXP,10,10.2,984299,1,0,0,0,niconico
チルドレンレコード,MAS,13.5,13.7,990650,1,0,0,0,niconico
イカサマライフゲイム,MAS,12.5,12.5,1004287,1,0,0,0,niconico
イカサマライフゲイム,ULT,14,14.1,1009503,1,1,0,0,niconico
"HAELEQUIN (Original Remaster)",MAS,15,15.2,1007635,1,0,0,0,VARIETY
Vallista,MAS,14.5,14.8,1009876,1,1,1,0,VARIETY
"Angel dust",MAS,15,15,1009636,1,1,0,0,VARIETY
conflict,EXP,10.5,10.7,1004953,1,1,0,0,VARIETY
conflict,MAS,14,14.3,1008481,1,0,0,0,VARIETY
Guilty,ULT,14,14.2,1009931,1,1,1,0,ORIGINAL
閃鋼のブリューナク,MAS,14.5,14.6,1008625,1,0,0,0,ORIGINAL
ODDS&ENDS,EXP,9,9,995157,1,0,0,0,niconico
ODDS&ENDS,MAS,10.5,10.6,998383,1,0,0,0,niconico
ODDS&ENDS,ULT,13.5,13.5,1009568,1,1,0,0,niconico
Aragami,MAS,14.5,14.6,1009837,1,1,1,0,VARIETY
"Change Our MIRAI！",ULT,14.5,14.5,1008364,1,0,0,0,イロドリミドリ
"Theme of SeelischTact",ULT,14,14.3,1009409,1,1,0,0,ORIGINAL
"brilliant better",MAS,12,12.1,1009941,1,1,1,0,イロドリミドリ
"brilliant better",ULT,13.5,13.6,1009939,1,1,1,0,イロドリミドリ
"Gustav Battle",MAS,14,14.1,1005207,1,0,0,0,ORIGINAL
"Gustav Battle",ULT,14.5,14.9,1008287,1,0,0,0,ORIGINAL
ギガンティックO.T.N,MAS,14,14.1,1008117,1,0,0,0,niconico
ジングルベル,MAS,14.5,14.6,1008782,1,1,0,0,POPS&ANIME
ジングルベル,ULT,15,15,1007774,1,0,0,0,POPS&ANIME
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,MAS,13.5,13.6,1007567,1,0,0,0,イロドリミドリ
幾四音-Ixion-,ULT,14,14.3,1009238,1,0,0,0,ORIGINAL
ぼくらの16bit戦争,EXP,9.5,9.5,1001810,1,0,0,0,niconico
ぼくらの16bit戦争,MAS,14,14.1,1006528,1,0,0,0,niconico
裏表ラバーズ,EXP,9.5,9.5,995434,1,0,0,0,niconico
裏表ラバーズ,MAS,12,12.1,992925,1,0,0,0,niconico
裏表ラバーズ,ULT,14,14,1009300,1,1,0,0,niconico
脳漿炸裂ガール,EXP,10.5,10.8,989215,1,0,0,0,niconico
脳漿炸裂ガール,MAS,13.5,13.8,1008271,1,1,0,0,niconico
脳漿炸裂ガール,ULT,15,15,1007879,1,0,0,0,niconico
