Eltaw,MASTER,12,906016
Eltaw,INSANITY,14+,997351
"ELIMINATE LOCKED",MASTER,10+,988408
"ELIMINATE LOCKED",INSANITY,13+,975803
DeusX-Machina,MASTER,13,0
SILASIM,MASTER,13,0
Oversleeping,MASTER,13+,987103
Oversleeping,INSANITY,15,996818
"電脳戦姫 -cyber valkyrie-",MASTER,14,994216
"電脳戦姫 -cyber valkyrie-",INSANITY,14+,994843
"Taiko Warrior",MASTER,15,998444
"Taiko Warrior",INSANITY,15,999532
"ST4R DUST",MASTER,11+,0
"ST4R DUST",INSANITY,14,984646
"NOTES RUSH!",MASTER,16,971731
琴音,MASTER,11,996445
琴音,INSANITY,15,993464
"Hottie - TAKUMIX -",MASTER,10,0
ARCANAA？,MASTER,15,997587
"Arousal Legato",MASTER,13,0
"Arousal Legato",INSANITY,14+,994420
tundra,MASTER,14+,993719
tundra,INSANITY,14+,996485
"Vapula Cathedral",MASTER,12,0
"Vapula Cathedral",INSANITY,14,995219
"Get Out of This Endmost Dystøpia",MASTER,13+,996607
"Connection Destination：Utopia",MASTER,14+,996281
"Connection Destination：Utopia",INSANITY,15,999833
"Are You Ready？？？",MASTER,12,1000000
"Are You Ready？？？",INSANITY,14+,996670
Dutedimpianekepusaan-分散的絶望夢-,MASTER,14,989441
Dutedimpianekepusaan-分散的絶望夢-,INSANITY,15+,993105
volcanic,MASTER,15+,996345
"Dark Aspect",MASTER,13,0
"Dark Aspect",INSANITY,12+,0
"Memory Of Summer Days",MASTER,11,997833
"Memory Of Summer Days",INSANITY,14+,999072
"To our sky",MASTER,13,0
"Chartreuse Green",MASTER,11,985512
"Psyched Fevereiro",MASTER,13+,980854
Dogbite,MASTER,14,968311
BPM＝RT,MASTER,15,993986
BPM＝RT,INSANITY,15,955847
3LiMiNATE,MASTER,14+,999836
マジカルラテアート,MASTER,12,0
マジカルラテアート,INSANITY,13+,923611
"Cipher : /2&//＜|0",MASTER,14,996436
"Rubbish Sorting",MASTER,10,0
"Rubbish Sorting",INSANITY,14,995038
"Re：End of a Dream",MASTER,14,992837
"Re：End of a Dream",INSANITY,16,973706
Outrage,MASTER,13,0
Outrage,INSANITY,14,990984
"Squall - TAKUMIX -",MASTER,14+,1000000
Yggdrasill,MASTER,14+,992634
Sephirah×ClusteR,MASTER,15,998972
Sephirah×ClusteR,INSANITY,15,990636
ミルキーウェイに口づけを,MASTER,12+,0
ミルキーウェイに口づけを,INSANITY,15,996571
"Erwachen (TAKUMI³mix)",MASTER,11+,0
"Erwachen (TAKUMI³mix)",INSANITY,14+,985939
"Open The Gate",MASTER,15,996365
"Open The Gate",INSANITY,14,993725
Fulgurite,MASTER,11+,0
Fulgurite,INSANITY,13+,993570
bpm160の練習曲,MASTER,13+,972932
bpm160の練習曲,INSANITY,14+,999038
"FIRST PROMIZE",MASTER,13,0
"DENGEKI Tube",MASTER,15+,990254
"Claimh solaiS",MASTER,11+,997724
"Claimh solaiS",INSANITY,13,1000000
rvLer,MASTER,14+,983550
"ParadiseWORLD sketched MAN",MASTER,14,994275
"ParadiseWORLD sketched MAN",INSANITY,15,990034
Ymir,MASTER,13,0
Ymir,INSANITY,15+,995960
Stratoscraper,MASTER,13,0
Stratoscraper,INSANITY,14+,994958
"刹空月想 feat.こずみっく",MASTER,13+,932538
"ZEUS † 666",MASTER,14+,998386
"ZEUS † 666",INSANITY,15,996947
iL-Artifact,MASTER,15+,996709
"Enemy Controller",MASTER,13,0
"Enemy Controller",INSANITY,14+,997828
"Electrick or Treat",MASTER,14+,976254
"ZEUS+1 -2017 Flashback-",MASTER,14,998224
紅恋桜,MASTER,15,992550
"Dance with Silence",MASTER,14,0
"Dance with Silence",INSANITY,15,990440
Flamewall,MASTER,13+,0
Flamewall,INSANITY,15+,997052
"Tera I/O",MASTER,15+,992449
"Divine Scourge",MASTER,11+,0
LiVEMeTAL,MASTER,13,973025
LiVEMeTAL,INSANITY,14,999932
ViCToRi4,MASTER,14+,971108
Peroizor³,MASTER,13,993970
Peroizor³,INSANITY,15,999211
"Fxxking Wedding",MASTER,14+,999250
Creigis,MASTER,15,998986
"Alice Witch Of Sweets",MASTER,12,0
"Alice Witch Of Sweets",INSANITY,14,998274
"Aquae Et Puella",MASTER,14+,998283
Cuvism³,MASTER,15,990398
Cuvism³,INSANITY,15+,992873
"Secret Order",MASTER,13,0
"Secret Order",INSANITY,14,988481
Thear,MASTER,13,975137
Thear,INSANITY,15,998959
GOODBOUNCE,MASTER,13,0
GOODBOUNCE,INSANITY,14,998200
GOODMEN,MASTER,13,994256
GOODMEN,INSANITY,15,991854
GOODWORLD,MASTER,15,991743
GOODWORLD,INSANITY,13,1000000
conflict,MASTER,13,998626
conflict,INSANITY,16,992975
"Rocking The Future",MASTER,11+,0
Toytown,MASTER,13+,998037
"Better Graphic Animation",MASTER,13+,983013
"Better Graphic Animation",INSANITY,14,987797
"Wütender Postbote",MASTER,13,997574
"Wütender Postbote",INSANITY,13,997444
"Canon (trr⇔don's Remix)",MASTER,13+,998304
"RESURRECTION WORLD",MASTER,15,997403
Memory：ZERΘ,MASTER,14,996101
"Galaxy Shot",MASTER,14,993538
"destiny feat.ＯＲＩ姫",MASTER,12,0
"destiny feat.ＯＲＩ姫",INSANITY,13+,936715
NiFlhel,MASTER,14+,998144
αthena,MASTER,14+,998262
"Starry Sky",MASTER,12+,0
"Starry Sky",INSANITY,14,990143
宵焔桜火,MASTER,14,997770
"Evil Emperor",MASTER,13,993260
"Evil Emperor",INSANITY,15+,996595
ANTITHESIS,MASTER,12+,0
ReVEAL,MASTER,13+,0
ReVEAL,INSANITY,13,0
ZODIAC,MASTER,13,0
ZODIAC,INSANITY,14,0
ZEUS,MASTER,13+,994520
ZEUS,INSANITY,15,990622
Oceanus,MASTER,13+,989108
"キマグレ☆テキトウ・アンサンブル→コミュニケーション Re_Dive!",MASTER,14+,998278
"HARD NOTES RUSH!",MASTER,13,996675
"RAKUGAKI NOTE",MASTER,11+,997592
"RAKUGAKI NOTE",INSANITY,14,992583
夜襲,MASTER,15+,992139
階段練習曲,MASTER,13+,997946
階段練習曲,INSANITY,15,994836
"Strike the Despair",MASTER,13,0
"Strike the Despair",INSANITY,13+,950088
Couleur,MASTER,11,0
Couleur,INSANITY,14+,999819
"Azzurro -HardRenaissance Remix-",MASTER,13+,958622
"A EaGLE",MASTER,15,998734
Grasshopper,MASTER,14+,999640
"Naughty Naughty Angel",MASTER,14+,999035
Requillio,MASTER,14,999766
Requillio,INSANITY,15+,996756
DiSORDΣR,MASTER,13,0
DiSORDΣR,INSANITY,14,995462
"OЯDIN -Apocalyptic War-",MASTER,13+,999382
"OЯDIN -Apocalyptic War-",INSANITY,15,998778
"Left Me Alone",MASTER,12+,0
"Europa the Beauty",MASTER,14,997652
"Cyber Entrance",MASTER,13+,999840
"Reflect RGB",MASTER,14+,986342
"Tokyo Haze",MASTER,14,995311
"No-name Requiem",MASTER,13+,995695
"No-name Requiem",INSANITY,15+,993433
≠,MASTER,15,999300
≠,INSANITY,16,995900
work^work^work^work^work^work,MASTER,13,998292
work^work^work^work^work^work,INSANITY,14+,999796
"Judge the World",MASTER,14,999082
"黎明の響 -Echo of Dawn-",MASTER,13,999053
Cryout,MASTER,13,0
Cryout,INSANITY,15,996794
YRU,MASTER,12+,0
YRU,INSANITY,14+,0
"Get Ready!!",MASTER,13,0
YURIKAGO,MASTER,13,0
Eat.Wav,MASTER,15+,996433
LiquidSplinter,MASTER,13+,0
LiquidSplinter,INSANITY,15,996799
Punishment,MASTER,13+,975790
"G e n g a o z o",MASTER,14+,999229
"G e n g a o z o",INSANITY,15,997079
"バンバード ～Piano Version～",MASTER,11+,0
"バンバード ～Piano Version～",INSANITY,13+,996591
"バンバード ～FM Shock Version～",MASTER,14,999922
"Banbard's Summer",MASTER,13+,999929
"Banbard's Summer",INSANITY,15,997087
Rainy/Storm,MASTER,14,999866
"Marionette Lady",MASTER,14,996028
"Marionette Lady",INSANITY,14+,994488
Valmung,MASTER,14,998627
Valmung,INSANITY,15+,997545
"Faith of Eastward",MASTER,13,0
